transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
one over one plus y squared times y prime,$\frac{1}{1+y^{2}}y^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A,1 over 1 plus y squared times y prime.,1 over 1 plus y squared times y prime.
one divided by the square root of one plus x squared,$1/\sqrt{1+x^{2}}$,https://www.youtube.com/watch?v=eHJuAByQf5A,1 divided by the square root of 1 plus x squared.,1 divided by the square root of 1 plus x squared.
 x zero plus f prime of x zero x minus x zero,$\displaystyle x_{0}+f^{\prime}(x_{0})(x - x_{0})$,https://www.youtube.com/watch?v=BSAA0akmPEU,"x0 plus f prime of x0, x minus x0.","x0 plus f prime of x0, x minus x0."
y equals cosine x,$y=\cos x$,https://www.youtube.com/watch?v=BSAA0akmPEU,Y equals cosine x.,y equals cosine x.
y equals e to the x,$y=\mathrm{e}^{x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,like us e to the x,y equals e to the x.
y equals one plus x,$\displaystyle y=1+x$,https://www.youtube.com/watch?v=BSAA0akmPEU,Y equals 1 plus X.,y equals 1 plus x.
f prime is one over one plus x,$f^{\prime}=\frac{1}{1+x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,F prime is 1 over 1 plus x.,f' is 1 over 1 plus x.
r one plus x to the r minus 1,$(r\cdot{1+x}^{r-1})$,https://www.youtube.com/watch?v=BSAA0akmPEU,R 1 plus x to the R minus 1.,r 1 plus x to the r minus 1.
e to the minus 3x divided by square root 1 plus x,$e^{-3x}/\sqrt{1+x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,e to the minus 3x divided by square root 1 plus x.,e to the minus 3x divided by square root 1 plus x.
e to the minus three x one plus x to the minus a half,$e^{-3x}(1+x^{-1/2})$,https://www.youtube.com/watch?v=BSAA0akmPEU,"e to the minus 3x, 1 plus x to the minus 1 half.","e to the minus 3x, 1 plus x to the minus 1.5."
one minus three x minus a half of x plus three halves x squared.,$1-3x-\frac{1}{2}x+\frac{3}{2}x^{2}$,https://www.youtube.com/watch?v=BSAA0akmPEU,"1 minus 3x minus 1,5x plus 3 halves x squared.",1 minus 3x minus 1 by 2x plus 3 by 2x squared.
t prime is equal to t divided by the square root of 1 minus v squared over c squared,$t^{\prime}= t/\sqrt{1-v^{2}/c^{2}}$,https://www.youtube.com/watch?v=BSAA0akmPEU,t prime is equal to t divided by the square root of 1 minus v squared over c squared.,T' is equal to t divided by the square root of 1 minus v squared over c squared.
v squared over c squared,$\frac{v^{2}}{c^{2}}$,https://www.youtube.com/watch?v=BSAA0akmPEU,v squared over c squared.,It's v squared over c squared.
t times 1 plus a half v squared over c squared,$t(1+\frac{1}{2}\frac{v^{2}}{c^{2}})$,https://www.youtube.com/watch?v=BSAA0akmPEU,t times 1 plus a half v squared over c squared.,t times 1 plus 1 by 2 v squared over c squared.
y equals one minus a half x squared,$y=1-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=BSAA0akmPEU,y equals 1 minus 1 half x squared.,y equals 1 minus 1 half x squared.
one plus a half v squared over c squared,$1+\frac{1}{2}v^{2}/c^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus 1 half d squared over c squared.,1 plus 1 half v squared over c squared.
f double prime of zero divided by two,$f^{\prime\prime}(0)/2$,https://www.youtube.com/watch?v=eRCN3daFCmU,F double prime of zero divided by two.,F double prime of 0 divided by 2.
sine x is approximately x,$\sin x\approx x$,https://www.youtube.com/watch?v=eRCN3daFCmU,sine x is approximately x.,Sine x is approximately x.
cosine x is approximately one minus a half x squared,$\cos x\approx 1-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,Cosine X is approximately 1 minus 1 half x squared.,Cosine x is approximately 1 minus 1 half x squared.
e to the x is approximately one plus x plus a half x squared,$e^{x}\approx 1+x+\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,e to the x is approximately 1 plus x plus 1 half x squared.,e to the x is approximately 1 plus x plus 1 by 2 x squared.
 x minus a half x squared,$x-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,x minus a half x squared.,x minus 1 by 2 x squared.
1 plus x to the power r,$(1+x^{r})$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus x to the power r.,1 plus x to the power r.
one plus rx plus r times r minus one divided by two x squared,$1+rx+\frac{r(r-1)}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus rx plus r times r minus 1 divided by 2 x squared.,1 plus rx plus r times r minus 1 divided by 2 x squared.
 e to the minus three x one plus x to the minus a half,$e^{-3x}(1+x)^{-1/2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,"The unit of the minus 3x, 1 plus x to the minus 1 half.","e to the minus 3x, 1 plus x to the minus 1.5."
one minus a half x plus a half times minus a half times minus three halves x squared,$1-\frac{1}{2}x+\frac{1}{2}\times(-\frac{1}{2})\times(-\frac{3}{2})x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 minus 1 half x plus 1 half times minus 1 half times minus 3 half x squared.,1 minus 1 half x plus 1 half times minus 1 half times minus 3 halves x squared.
f double prime is minus one over one plus x squared,$f^{\prime\prime}=-\frac{1}{1 + x^{2}}$,https://www.youtube.com/watch?v=eRCN3daFCmU,ZF double prime is minus 1 over 1 plus x squared.,x f double prime is minus 1 over 1 plus x squared.
r one plus x to the r minus one,$(r\cdot 1+x^{r-1})$,https://www.youtube.com/watch?v=eRCN3daFCmU,"R, 1 plus x to the R minus 1.","R, 1 plus x to the r minus 1."
r times r minus one x plus one to the r minus two,$r(r-1)(x+1)^{r-2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,"R times R minus 1, x plus 1 to the R minus 2.","R times r minus 1, x plus 1 to the r minus 2."
3 times 1 minus x times 1 plus x,$3(1-x)(1+x)$,https://www.youtube.com/watch?v=eRCN3daFCmU,3 times 1 minus x times 1 plus x.,3 times 1 minus x times 1 plus x.
one minus x times 1 plus x is zero,$(1 - x)(1 + x) = 0$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 minus x times 1 plus x is 0.,1 minus x times 1 plus x is 0.
 x is plus or minus 1,$x={}(\pm1)$,https://www.youtube.com/watch?v=eRCN3daFCmU,X is plus or minus one.,x is plus or minus 1.
f of x is three x minus x cubed,$f(x)=3x-x^{3}$,https://www.youtube.com/watch?v=eRCN3daFCmU,f of x is 3x minus x cubed.,f of x is 3x minus x cubed.
one over x plus two the quantity squared.,$\frac{1}{({x+2})^2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,"1 over x plus 2, the quantity square.",1 over x plus 2 the quantity squared.
negative two plus one,$\-2 + 1\$,https://www.youtube.com/watch?v=twzGBqPeW0M,Negative 2 plus 1.,Negative 2 plus 1.
1 plus 1 over x,$1+\frac{1}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 plus 1 over x.,1 plus 1 over x.
1 plus 2 over x,$1+\frac{2}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 plus 2 over x.,1 plus 2 over x.
one minus one over x plus 2,$1-\frac{1}{x+2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 minus 1 over x plus 2.,1 minus 1 over x plus 2.
one times log x minus x times the derivative of log x,$1\cdot\log x-x\cdot\frac{\mathrm{d}}{\mathrm{dx}}\log (x)$,https://www.youtube.com/watch?v=twzGBqPeW0M,"1 times the log x minus x times the derivative of log x,",1 times log x minus x times the derivative of log x.
log x minus one divided by log x squared,$(\log (x)-1)/\log x^{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,log x minus 1 divided by log x squared.,log x minus 1 divided by log x squared.
e divided by log e,$e/\log e$,https://www.youtube.com/watch?v=twzGBqPeW0M,e divided by log e.,E divided by log E.
 log e is 1, $\log(e) = {1}$,https://www.youtube.com/watch?v=twzGBqPeW0M,Shy and With Isle dagegen,This log is one.
 log x minus 1 divided by log x squared,$\log(x-1)/(\log x)^{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,log x minus 1 divided by log x squared.,log x minus 1 divided by log x squared.
1 over log x minus 1 over log x squared,$1/\log x - 1/(\log x^{2})$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over log x minus 1 over log x squared.,1 over log x minus 1 over log x squared.
1 over log 0 plus minus 1 over log 0 plus squared,$\displaystyle \frac{1}{\log(0^{+})}-\frac{1}{(\log(0^{+}))^{2}}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over log 0 plus minus 1 over log 0 plus square.,1 over log 0 plus minus 1 over log 0 plus squared.
one over minus infinity minus 1 over infinity,$\frac{1}{-\infty}-\frac{1}{\infty}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over minus infinity minus 1 over infinity.,1 over minus infinity minus 1 over infinity.
minus log x to the minus 2 times 1 over x plus 2 log x to the minus 3 1 over x,$\displaystyle -(\log x)^{-2} \cdot\frac{1}{x}+2(\log x)^{-3}\frac{1}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,"That's minus log x to the minus 2 times 1 over x plus 2 log x to the minus 3, 1 over x.","That's minus log x to the minus 2 times 1 over x, plus 2 log x to the minus 3, 1 over x."
 x log x cubed ,$x(\log x)^3$,https://www.youtube.com/watch?v=twzGBqPeW0M,"x, log x, cubed.",x log x cubed.
2 minus log x,$2-\log x$,https://www.youtube.com/watch?v=twzGBqPeW0M,The two minus log x.,The 2 minus log x.
e squared over two,$\frac{e^{2}}{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,E squared over two.,e squared over 2.
one minus x,$\displaystyle 1-x$,https://www.youtube.com/watch?v=YN7k_bXXggY,1 minus x.,1 minus x.
x over 4,$\frac{x}{4}$,https://www.youtube.com/watch?v=YN7k_bXXggY,X over 4.,x over 4.
x squared over 16,$x^{2}/16$,https://www.youtube.com/watch?v=YN7k_bXXggY,X squared over 16.,x squared over 16.
the derivative of 1 minus x squared is 2 times 1 minus x times of minus 1,$\displaystyle \frac{d}{dx}\left(1-x\right)^{2}=2\left(1-x\right)(-1)$,https://www.youtube.com/watch?v=YN7k_bXXggY,The derivative of 1 minus x squared is two times 1 minus x times a minus 1.,The derivative of 1 minus x squared is 2 times 1 minus x times a minus 1.
2x over 8,$\frac{2x}{8}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x over 8,2x over 8.
y is equal to v divided by x squared,$y=\frac{v}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,y is equal to v divided by x squared.,y is equal to v divided by x squared.
A prime is 2x minus 4v over x squared,$A^{\prime}=2x-4v/x^{2}$,https://www.youtube.com/watch?v=YN7k_bXXggY,A prime is 2x minus 4v over x squared.,a' is 2x minus 4v over x squared.
2x equals 2v over x squared,$2x=2v/x^{2}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x equals 2v over x squared.,2x equals 2v over x squared.
x cubed is equal to 2v,$x^{3}=2v$,https://www.youtube.com/watch?v=YN7k_bXXggY,x cubed is equal to 2v.,x cubed is equal to 2v.
x is equal to 2 to the 1 3rd v to the 1 3rd,$x=2^{\frac{1}{3}}v^{\frac{1}{3}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,"x is equal to 2 to the 1-third, v to the 1-third.","x is equal to 2 to the 1 third, v to the 1 third."
x squared plus 4v over x,$x^{2}+\frac{4v}{x}$,https://www.youtube.com/watch?v=YN7k_bXXggY,x squared plus 4v over x.,x squared plus 4v over x.
2x minus 4v over x squared,$\displaystyle 2x-\frac{4v}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,plus 2x minus 4v over x squared.,2x minus 4v over x squared.
x squared plus 4v over x,$x^{2}+4v/x$,https://www.youtube.com/watch?v=YN7k_bXXggY,x squared plus 4 v over x.,x squared plus 4v over x.
two to the one third v to the one third squared plus four v ,$({2^{(1/3)}v^{(1/3)}})^{2}+4v$,https://www.youtube.com/watch?v=YN7k_bXXggY,2 to the 1-third v to the 1-third squared plus 4v.,"2 to the 1 third, v to the 1 third squared plus 4v."
a divided by v to the 2 3rds,$\frac{a}{v^{2/3}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,A divided by V to the 2 thirds.,A divided by V to the 2 thirds.
2 to the 1 3rd v to the 1 3rd divided by 2 to the minus 2 3rds v to the 1 3rd,$2^{1/3}v^{1/3}\over 2^{-2/3}v^{1/3}$,https://www.youtube.com/watch?v=YN7k_bXXggY,"2 to the 1-third, v to the 1-third divided by 2 to the minus 2-thirds, v to the 1-third.",2 to the 1 third v to the 1 third divided by 2 to the minus 2 thirds v to the 1 third.
2xy,$(2xy)$,https://www.youtube.com/watch?v=YN7k_bXXggY,"2x, y.",2xy
y prime is equal to minus 2xy divided by x squared,$y^{\prime}=-\frac{2xy}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,y prime is equal to minus 2xy divided by x squared.,y' is equal to minus 2xy divided by x squared.
2x plus 4y plus 4x y prime,$2x+4y+4xy^{\prime}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x plus 4y plus 4x y prime.,2x plus 4y plus 4xy'
4x times minus 2y over x,$4x\cdot-\frac{2y}{x}$,https://www.youtube.com/watch?v=YN7k_bXXggY,4x times minus 2y over x.,4x times minus 2y over x.
2x plus 4y,$\displaystyle 2x+4y$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x plus 4y.,2x plus 4y.
8 minus 8y equals 0,$8-8y=0.$,https://www.youtube.com/watch?v=YN7k_bXXggY,8 minus 8 y equals 0.,8 minus 8y equals 0.
x over y is equal to 2,$\frac{x}{y}=2$,https://www.youtube.com/watch?v=YN7k_bXXggY,x over y is equal to 2.,x over y is equal to 2.
x squared plus 30 squared is equal to d squared,$x^{2}+30^{2}=d^{2}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x squared plus 30 squared is equal to d squared.,x squared plus 30 squared is equal to d squared.
d D dt is minus 80,$\frac{\mathrm{d}}{\mathrm{d}t}D=-80$,https://www.youtube.com/watch?v=sRIDVAcoG5A,DDDT is minus 80.,d d dt is minus 80.
r divided by h is equal to four divided by ten,$r/h=4/10$,https://www.youtube.com/watch?v=sRIDVAcoG5A,r divided by h is equal to 4 divided by 10.,r divided by h is equal to 4 divided by 10.
dv dt is two,$\frac{dv}{dt} = 2$,https://www.youtube.com/watch?v=sRIDVAcoG5A,DVDT is two.,DVDT is two.
two fifths h,$\frac{2}{5}h$,https://www.youtube.com/watch?v=sRIDVAcoG5A,"Two fifths, H.",2 fifths H.
v is equal to a 3rd pi times 2 5ths,$v=\frac{1}{3}\pi\times\frac{2}{5}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,v is equal to a third pi times 2 fifths.,v is equal to 1 3 pi times 2 5.
h squared times h,$\mathbb{h}^{2}\times\mathbb{h}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,H squared times H.,h squared times h.
h squared times h,$\mathbb{h}^{2}\times\mathbb{h}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,H squared times H.,h squared times h.
3h squared times dh dt,$\displaystyle 3h^{2}\frac{dh}{dt}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,3H squared times DHDT.,3h squared times dh dt.
2 is equal to pi over 3 times 2 5ths,$2=\frac{\pi}{3}\times\frac{2}{5}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,2 is equal to pi over 3 times 2-5th.,2 is equal to pi over 3 times 2 fifths.
dh dt is equal to 1 over 2pi,$\frac{dh}{dt}=\frac{1}{2\pi}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,dH dT is equal to 1 over 2 pi.,dH dt is equal to 1 over 2 pi.
dv dt is equal to dv dh times dh dt,$dv/dt = \frac{dv}{dh}\times\frac{dh}{dt}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,use dVDT is equal to dVDH times dHDT.,Use dvdt is equal to dvdh times dhdt.
the square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,the square root of x squared plus y squared.,The square root of x squared plus y squared.
b minus y,$\mathcal{b}{-}y$,https://www.youtube.com/watch?v=sRIDVAcoG5A,B minus Y.,B minus Y.
the square root of a minus x squared plus b minus y squared,$\sqrt{(a-x)^{2}+(b-y)^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,the square root of a minus x squared plus d minus y squared.,The square root of a-x squared plus b-y squared.
a minus x,$\mathcal{a}-x$,https://www.youtube.com/watch?v=sRIDVAcoG5A,A minus x.,a minus x.
b minus y times y prime,$(b - y)y^{\prime}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,V minus y times y prime.,v minus y times y'
x divided by square root of x squared plus y squared ,$x/\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x divided by square root of x squared plus y squared.,x divided by square root of x squared plus y squared.
x squared equals 5,$\displaystyle x^{2}=5$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x squared equals 5.,x squared equals 5.
f of x equal to x squared minus 5,$f(x)=x^{2}-5$,https://www.youtube.com/watch?v=sRIDVAcoG5A,f of x equal to x squared minus 5.,f of x equal to x squared minus 5.
f of x equals 0,$f(\mathbf{x})=0$,https://www.youtube.com/watch?v=sRIDVAcoG5A,f of x equals zero.,f of x equals 0.
y minus y0 is equal to m x minus x0,$y-y_{0}=m(x-x_{0})$,https://www.youtube.com/watch?v=sRIDVAcoG5A,y minus y0 is equal to m x minus x0.,y minus y0 is equal to m x minus x0.
x1 is equal to x0 minus y0 divided by m,$x_{1}=x_{0}-\frac{y_{0}}{m}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,X1 is equal to X0 minus Y0 divided by M.,x1 is equal to x0 minus y0 divided by m.
x0 is equal to 2,$x_0 = 2$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x0 is equal to 2,x0 is equal to 2.
x0 squared minus 5,$x_0^{2} - 5$ ,https://www.youtube.com/watch?v=sRIDVAcoG5A,x0 squared minus 5.,x0 squared minus 5.
minus a half x zero,$-\frac{1}{2}x_{0}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,minus a half x0.,Minus 1 by 2 x 0.
five halves over x zero,$\frac{5}{2}\over x_0$,https://www.youtube.com/watch?v=sRIDVAcoG5A,5 halves over x0.,5 halves over x zero.
x one is a half times two,$\displaystyle \mathbb{x}_{1}=\frac{1}{2}\times 2$ ,https://www.youtube.com/watch?v=sRIDVAcoG5A,x1 is a half times 2.,x1 is 1 by 2.
9 4ths plus 5 halves times 4 9ths,$(9/4+5/2)\times(4/9)$,https://www.youtube.com/watch?v=sRIDVAcoG5A,9 fourths plus 5 halves times 4 ninths.,9 4ths plus 5 halves times 4 9ths.
square root of 5 minus xn,$\sqrt{5}-x_n$,https://www.youtube.com/watch?v=sRIDVAcoG5A,square root of 5 minus x anode.,Square root of 5 minus xn.
one minus a half,$1-\frac{1}{2}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,The one minus a half I got,The 1 minus 1.5 I got.
x minus x1 in absolute value,$|x-x_1|$ ,https://www.youtube.com/watch?v=4Q37iOyBq44,x minus x1 in absolute value.,x minus x1 in absolute value.
e2 would be x minus x2 in absolute value,$\displaystyle \mathbb{e}_2 = |x - x_{2}|$,https://www.youtube.com/watch?v=4Q37iOyBq44,E2 would be x minus x2 in absolute value.,"E2 would be x minus x2, an absolute value."
y equals x squared minus 5,$y=x^{2}-5$,https://www.youtube.com/watch?v=4Q37iOyBq44,2 equals x squared minus 5.,y equals x squared minus 5.
the interval a less than x less than b,$[a<x<b]$,https://www.youtube.com/watch?v=4Q37iOyBq44,the interval a less than x less than b.,The interval a less than x less than b.
f of b minus f of a divided by b minus a,$(f(b)-f(a))/(b-a)$,https://www.youtube.com/watch?v=4Q37iOyBq44,F of B minus F of A divided by B minus A.,And f of b minus f of a divided by b minus a.
f of b minus f of a over b minus a is equal to f prime of c,$ \frac{f(b)-f(a)}{b-a}=f^{\prime}(c) $,https://www.youtube.com/watch?v=4Q37iOyBq44,F of b minus F of a over b minus a is equal to F prime of c.,f of b minus f of a over b minus a is equal to f prime of c.
f of b is equal to f of a plus f prime of c times b minus a,$f(b)=f(a)+f^{\prime}(c)(b - a)$,https://www.youtube.com/watch?v=4Q37iOyBq44,f of b is equal to f of a plus f prime of c times b minus a.,f of b is equal to f of a plus f prime of c times b minus a.
e to the x minus 1 plus x,$e^{x}-1+x$,https://www.youtube.com/watch?v=4Q37iOyBq44,e to the x minus 1 plus x.,e to the x minus 1 plus x.
 e to the 0 minus 1 plus 0,$(e^{0}-1)+0$,https://www.youtube.com/watch?v=4Q37iOyBq44,e to the zero minus one plus zero.,e to the 0 minus 1 plus 0.
f prime of x is e to the x,$f^{\prime}(x)=e^{x}$,https://www.youtube.com/watch?v=4Q37iOyBq44,f prime of x is e to the x.,f' of x is e to the x.
e to the x is bigger than 1 plus x plus x squared over 2,$e^{x}>(1+x+\frac{x^{2}}{2})$,https://www.youtube.com/watch?v=4Q37iOyBq44,e to the x is bigger than 1 plus x plus x squared over 2.,e to the x is bigger than 1 plus x plus x squared over 2.
x squared over 2,$\frac{x^{2}}{2}$,https://www.youtube.com/watch?v=4Q37iOyBq44,X squared over 2.,x squared over 2.
x cubed over 3 times 2,$\frac{x^{3}}{3\times 2}$,https://www.youtube.com/watch?v=4Q37iOyBq44,It's cubed over three times two.,It's cubed over 3 times 2.
x to the fourth over four times three times two,$x^{4}\over{4\times3\times2}$,https://www.youtube.com/watch?v=4Q37iOyBq44,x to the fourth over four times three times two.,x to the fourth over 4 times 3 times 2.
x to the 1 3rd,$x^{\frac{1}{3}}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,Next to the one third.,x to the 1 third.
one-third x to the minus two thirds,$\frac{1}{3}x^{-\frac{2}{3}}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,1 third x to the minus 2 thirds.,1 third x to the minus 2 thirds.
y is equal to 64 to the 1 3rd,$y\mathrel{\mathop{=}}64^{1/3}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,y is equal to 64 to the 1-third.,y is equal to 64 to the 1 third.
dy is 1 3rd times 64 to the minus 2 3rds dx,$dy=\frac{1}{3}64^{-\frac{2}{3}}dx$,https://www.youtube.com/watch?v=-MI0b4h3rS0,d y is 1 third times 64 to the minus 2 thirds dx.,dy is 1 third times 64 to the minus 2 thirds dx.
dy is equal to 1 48th dx,$dy=\frac{1}{48}dx$,https://www.youtube.com/watch?v=-MI0b4h3rS0,d y is equal to 148 dx.,dy is equal to 1 48th dx.
f prime of a times x minus a,$f^{\prime}(a)(x-a)$,https://www.youtube.com/watch?v=-MI0b4h3rS0,of prime of A times x minus A.,f' of a times x minus a.
f of x is x to the 1 3rd,$f(x)=x^{1/3}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,f of x is x to the 1 third.,f of x is x to the 1 third.
4 plus 1 over 48 times x minus a,$(4+\frac{1}{48}(x-a))$,https://www.youtube.com/watch?v=-MI0b4h3rS0,"4 plus 1 over 48 times x minus a, which","4 plus 1 over 48 times x minus a, which is 4."
one over a plus one,$\frac{1}{a+1}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,1 over a plus 1.,1 over a plus 1.
1 over negative x times the derivative with respect to x of negative x,$\displaystyle \frac{1}{-x}\frac{d}{dx}(-x)$,https://www.youtube.com/watch?v=-MI0b4h3rS0,1 over negative x times the derivative with respect to x of negative x.,1 over negative x times the derivative with respect to x of negative x.
integral of secant squared x dx,$\int \sec^{2}xdx$,https://www.youtube.com/watch?v=-MI0b4h3rS0,integral of secant squared x dx.,The integral of secant squared x dx.
sine inverse x,$\sin^{-1}x$,https://www.youtube.com/watch?v=-MI0b4h3rS0,sin inverse x.,Sine inverse x.
the integral of dx over 1 plus x squared,$\int\frac{dx}{1+x^{2}}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,the integral of d x of a 1 plus x squared.,The integral of dx over 1 plus x squared.
f of x equals g of x plus a constant,$f(x)=g(x)+\text{constant}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,f of x equals g of x plus a constant.,f of x equals g of x plus a constant.
u is equal to x to the fourth plus two,$u=x^{4}+2$.,https://www.youtube.com/watch?v=-MI0b4h3rS0,u is equal to x to the fourth plus 2.,u is equal to x to the fourth plus 2.
1 24 x to the 4th plus 2 to the power 6 plus c,$\frac{1}{24}x^{4}+2^{6}+c$,https://www.youtube.com/watch?v=-MI0b4h3rS0,124th x to the 4th plus 2 to the power 6 plus c.,It's 1 24th x to the 4th plus 2 to the power 6 plus c.
the integral of u to the minus a half du,$\int u^{-\frac{1}{2}}\mathrm{d}u$,https://www.youtube.com/watch?v=-MI0b4h3rS0,It leads to the integral of u to the minus a half d u.,It leads to the integral of u to the minus 1 half du.
half one plus x squared to the minus a half times two x,${\frac{1}{2}}(1+x^{2})^{-\frac{1}{2}}2x$,https://www.youtube.com/watch?v=-MI0b4h3rS0,"1.5, 1 plus x squared to the minus 1.5 times 2x.",1 1 plus x squared to the minus 1 half times 2 x.
square root of 1 plus x squared plus c,$\sqrt{1+x^{2}}+c$,https://www.youtube.com/watch?v=-MI0b4h3rS0,square root of 1 plus x square plus c.,Square root of 1 plus x squared plus c.
6 e to the 6x,$6\mathrm{e}^{6x}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,6 e to the 6x.,6e to the 6x.
x e to the minus x squared,$xe^{-x^{2}}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,x times e to the minus x squared.,x times e to the minus x squared.
sine x cosine x dx,$\sin x\cos xdx$,https://www.youtube.com/watch?v=-MI0b4h3rS0,sine x cosine x dx,Sine x cosine x dx.
2 cosine x times minus sine x,$2\cos x\cdot(-\sin x)$,https://www.youtube.com/watch?v=-MI0b4h3rS0,2 cosine x times minus sine x.,2 cosine x times minus sine x.
the integral of sine x cosine x dx is equal to negative a half cosine squared x plus c,$\int\sin x\cos xdx=-\frac{1}{2}\cos^{2}x+C$,https://www.youtube.com/watch?v=-MI0b4h3rS0,The integral of sine x cosine x dx is equal to negative a half cosine squared x plus c.,The integral of sin x cosine x dx is equal to negative 1 by 2 cosine squared x plus c.
 sine squared x ,$\sin^{2}x$,https://www.youtube.com/watch?v=-MI0b4h3rS0,sine squared x.,Sine squared x.
a half sine squared plus cosine squared,$\frac{1}{2}\sin^{2}+\cos^{2}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,The half sine squared plus cosine squared.,1 by 2 sine squared plus cosine squared.
one over u,$\frac{1}{u}$,https://www.youtube.com/watch?v=-MI0b4h3rS0,One over you.,One over you.
log x plus c,$\log x+c$,https://www.youtube.com/watch?v=-MI0b4h3rS0,log x plus z.,log x plus c.
2b over n,$\frac{2b}{n}$,https://www.youtube.com/watch?v=hjZhPczMkL4,2B over N.,2b over n.
b over n times 2b over n squared,$(b/n)\times(2b/n^{2})$,https://www.youtube.com/watch?v=hjZhPczMkL4,over n times 2b over n squared.,b over n times 2b over n squared.
 b over n times n b over n squared,$(b/n)\times(nb/n^{2})$,https://www.youtube.com/watch?v=hjZhPczMkL4,over n times n the over n squared. So that's.,b over n times n b over n squared.
1 3rd n cubed,$\frac{1}{3}n^{3}$,https://www.youtube.com/watch?v=hjZhPczMkL4,One third and cubed.,1 third n cubed.
n plus 1 squared times n plus 1,$(n+1)^{2}(n+1)$,https://www.youtube.com/watch?v=hjZhPczMkL4,n plus 1 squared times n plus 1.,n plus 1 squared times n plus 1.
 n plus 1 cubed divided by n cubed,$(n+1)^{3}/n^{3}$,https://www.youtube.com/watch?v=hjZhPczMkL4,n plus 1 cubed divided by n cubed.,n plus 1 cubed divided by n cubed.
the integral from 0 to b x squared dx,$\int_{0}^{b}x^{2}dx$,https://www.youtube.com/watch?v=hjZhPczMkL4,The integral from 0 to b x squared dx.,"The integral from 0 to b, x squared dx."
