transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE,MathSpeech_LaTeX_result_medium
 k times f prime of kx,$k\cdot f^{\prime}(kx)$,https://www.youtube.com/watch?v=9v25gg2qJYE,K times f prime of Kx.,K times f' of kx.,$k\cdotf^{\prime}(kx)$
e to the log x is equal to x,$\mathrm{e}^{\log x}=x$,https://www.youtube.com/watch?v=9v25gg2qJYE,e to the log x is equal to x.,e to the log x is equal to x.,$\mathrm{e}^{\logx}:=x$
d by dx e to the w,$\frac{d}{dx}\mathbf{e}^{w}$,https://www.youtube.com/watch?v=9v25gg2qJYE,d by dx e to the w.,d by dx e to the w.,$\frac{d}{dx}\mathbf{e}^{w}$
 e to the power log a to the power x,$(e^{\ln a})^{x}$,https://www.youtube.com/watch?v=9v25gg2qJYE,e to the power log a to the power x.,e to the power log a to the power x.,$e^{\loge^{x}}$
d by dx of a to the x is equal to d by dx of e to the x log a,$\frac{d}{dx}(a^{x})=\frac{d}{dx}(e^{x}\log a)$,https://www.youtube.com/watch?v=9v25gg2qJYE,d by dx of a to the x is equal to d by dx of e to the x log a.,d by dx of a to the x is equal to d by dx of e to the x log a.,$\frac{d}{dx}(e^{X}):=\frac{d}{dx}(e^{X}\loga)$
log a times e to the x log a,"$\log a\,\mathrm{e}^{x\log a}$",https://www.youtube.com/watch?v=9v25gg2qJYE,log a times e to the x log a.,log a times e to the x log a.,$\logA\cdote^{x\logA}$
 The derivative with respect to x of 2 to the x is log 2 times 2 to the x,$\frac{d}{dx}(2^{x})=\log{2}(2^{x})$,https://www.youtube.com/watch?v=9v25gg2qJYE,The derivative of ortho-spect x of 2 to the x is log 2 times 2 to the x.,The derivative with respect to x of 2 to the x is log 2 times,$\frac{d}{dx}(2^{x})\log2dx$
log 10 times 10 to the x,$\log 10\times 10^{x}$,https://www.youtube.com/watch?v=9v25gg2qJYE,The log 10 times 10 to the x.,log 10 times 10 to the x.,$\log10\times10^{\mathrm{ex}}$
log u prime is equal to u primie over u,$\log u^{\prime}=u^{\prime}/u$,https://www.youtube.com/watch?v=9v25gg2qJYE,Log U prime is equal to U prime over U.,Log u' is equal to u' over u.,$\logU^{\prime}:=U^{\prime}/U$
u prime is equal to u times log a,$u^{\prime}=u\cdot\log a$,https://www.youtube.com/watch?v=9v25gg2qJYE,The mu prime is equal to u times log a.,And u' is equal to u times log a.,$\displaystyle\text{and}u^{\prime}:=u\cdot\loga$
v prime is equal to v times 1 plus log x,$v^{\prime}=v(1+\log x)$,https://www.youtube.com/watch?v=9v25gg2qJYE,v prime is equal to v times 1 plus log x.,V' is equal to V times 1 plus log x.,$V^{\prime}:=V(1+\logx)$
d by dx x to the x,$(\frac{d}{dx}(x^{x}))$,https://www.youtube.com/watch?v=9v25gg2qJYE,"d by dx, x to the x.","d by dx, x to the x.","$(d/dx,x^{x})$"
one plus one over n to the power n,$(1+\frac{1}{n})^{n}$,https://www.youtube.com/watch?v=9v25gg2qJYE,1 plus 1 over n to the power n.,1 plus 1 over n to the power n.,$1+\frac{1}{n^{n}}$
n log one plus one over n,$n\log(1+1/n)$,https://www.youtube.com/watch?v=9v25gg2qJYE,N log 1 plus 1 over N.,n log 1 plus 1 over n.,$n\log(1+1/n)$
one plus one over k to the kth power,$(1+\frac{1}{k})^{k}$,https://www.youtube.com/watch?v=eHJuAByQf5A,1 plus 1 over k to the kth power.,1 plus 1 over k to the k-th power.,$1+\frac{1}{k^{k}}$
ln of one plus one over k,$\ln(1+\frac{1}{k})$,https://www.youtube.com/watch?v=eHJuAByQf5A,LL01 plus 1 over K.,I have a hand of 1 plus 1 over k.,$I(N(1+\frac{1}{k}))$
e to the r log x prime,$\mathrm{e}^{r}\log x^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A,e to the R log x prime.,e to the r log x prime.,$\mathrm{e}^{r}\logx^{\prime}$
u times r divided by x,$u\times\mathbb{r}/x$,https://www.youtube.com/watch?v=eHJuAByQf5A,u times r divided by x.,u times r divided by x.,$U\times\mathbb{R}/x$
r x to the r minus one,$rx^{r-1}$,https://www.youtube.com/watch?v=eHJuAByQf5A,R x to the R minus 1.,r x to the r minus 1.,"$(r,x^{r}-1)$"
y is ten x plus b,$y=10x+b$,https://www.youtube.com/watch?v=eHJuAByQf5A,Y is 10x plus B.,y is 10x plus b.,$y\sim10x+b$
fifty t plus ten a plus b,$50t+10a+b$,https://www.youtube.com/watch?v=eHJuAByQf5A,50t plus 10a plus b.,50t plus 10a plus b.,$50T+10A+B$
minus v to the minus 2 times v prime,$-v^{-2}v^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A,minus V to the minus 2 times V prime.,Minus v to the minus 2 times v prime.,$-v^{-2}v^{\prime}$
x to the ten plus eight x,$x^{10}+8x$,https://www.youtube.com/watch?v=eHJuAByQf5A,X to the tenth plus 8S.,x to the 10th equals 8s.,$x^{10}=8s$
e to the x tan inverse x,$\mathrm{e}^{x}{\tan^{-1}x}$,https://www.youtube.com/watch?v=eHJuAByQf5A,e to the x tan inverse x.,E to the x tan inverse x.,$\mathrm{e}^{x\tan^{-1}x}$
x divided by 1 plus x squared,$\frac{x}{1+x^{2}}$,https://www.youtube.com/watch?v=eHJuAByQf5A,x divided by 1 plus x squared.,x divided by 1 plus x squared.,$\frac{x}{1+x^{2}}$
the limit as delta x goes to 0 of f of x plus delta x minus f of x divided by delta x,$\displaystyle \lim_{\Delta x\to 0}\frac{f(x+\Delta x)-f(x)}{\Delta x}$,https://www.youtube.com/watch?v=eHJuAByQf5A,The limit is delta x goes to 0 of f of x plus delta x minus f of x divided by delta x.,The limit as delta x goes to 0 of f of x plus delta x minus f of x divided by delta x.,$\displaystyle\lim_{\Deltax\to0}\frac{f(x+\Deltax)-f(x)}{\Deltax}$
one over one plus y squared times y prime,$\frac{1}{1+y^{2}}y^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A,1 over 1 plus y squared times y prime.,1 over 1 plus y squared times y prime.,$\frac{1}{1+y^{2}}y^{\prime}$
one divided by the square root of one plus x squared,$1/\sqrt{1+x^{2}}$,https://www.youtube.com/watch?v=eHJuAByQf5A,1 divided by the square root of 1 plus x squared.,1 divided by the square root of 1 plus x squared.,$1/\sqrt{1+x^{2}}$
 x zero plus f prime of x zero x minus x zero,$\displaystyle x_{0}+f^{\prime}(x_{0})(x - x_{0})$,https://www.youtube.com/watch?v=BSAA0akmPEU,"x0 plus f prime of x0, x minus x0.","x0 plus f prime of x0, x minus x0.","$\displaystyleX_{0}+f^{\prime}(X_{0},X-X_{0})$"
y equals cosine x,$y=\cos x$,https://www.youtube.com/watch?v=BSAA0akmPEU,Y equals cosine x.,y equals cosine x.,$y=\cosx$
y equals e to the x,$y=\mathrm{e}^{x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,like us e to the x,y equals e to the x.,$y=\exp(x)$
y equals one plus x,$\displaystyle y=1+x$,https://www.youtube.com/watch?v=BSAA0akmPEU,Y equals 1 plus X.,y equals 1 plus x.,$\displaystyley=1+x$
f prime is one over one plus x,$f^{\prime}=\frac{1}{1+x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,F prime is 1 over 1 plus x.,f' is 1 over 1 plus x.,$f^{\prime}\sim\frac{1}{1+x}$
r one plus x to the r minus 1,$(r\cdot{1+x}^{r-1})$,https://www.youtube.com/watch?v=BSAA0akmPEU,R 1 plus x to the R minus 1.,r 1 plus x to the r minus 1.,"$(r,1+x^{r}-1)$"
e to the minus 3x divided by square root 1 plus x,$e^{-3x}/\sqrt{1+x}$,https://www.youtube.com/watch?v=BSAA0akmPEU,e to the minus 3x divided by square root 1 plus x.,e to the minus 3x divided by square root 1 plus x.,$e^{-3x}/\sqrt{1+x}$
e to the minus three x one plus x to the minus a half,$e^{-3x}(1+x^{-1/2})$,https://www.youtube.com/watch?v=BSAA0akmPEU,"e to the minus 3x, 1 plus x to the minus 1 half.","e to the minus 3x, 1 plus x to the minus 1.5.","$(e^{-3x},1+x^{-1.5})$"
one minus three x minus a half of x plus three halves x squared.,$1-3x-\frac{1}{2}x+\frac{3}{2}x^{2}$,https://www.youtube.com/watch?v=BSAA0akmPEU,"1 minus 3x minus 1,5x plus 3 halves x squared.",1 minus 3x minus 1 by 2x plus 3 by 2x squared.,$1-3x-\frac{1}{2x}+\frac{3}{2x^{2}}$
t prime is equal to t divided by the square root of 1 minus v squared over c squared,$t^{\prime}= t/\sqrt{1-v^{2}/c^{2}}$,https://www.youtube.com/watch?v=BSAA0akmPEU,t prime is equal to t divided by the square root of 1 minus v squared over c squared.,T' is equal to t divided by the square root of 1 minus v squared over c squared.,$T^{\prime}:=T/\sqrt{1-v^{2}/c^{2}}$
v squared over c squared,$\frac{v^{2}}{c^{2}}$,https://www.youtube.com/watch?v=BSAA0akmPEU,v squared over c squared.,It's v squared over c squared.,$idv^{2}/c^{2}$
t times 1 plus a half v squared over c squared,$t(1+\frac{1}{2}\frac{v^{2}}{c^{2}})$,https://www.youtube.com/watch?v=BSAA0akmPEU,t times 1 plus a half v squared over c squared.,t times 1 plus 1 by 2 v squared over c squared.,$T(1+\frac{1}{2v^{2}/c^{2}})$
y equals one minus a half x squared,$y=1-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=BSAA0akmPEU,y equals 1 minus 1 half x squared.,y equals 1 minus 1 half x squared.,$y=1-\frac{1}{2}x^{2}$
one plus a half v squared over c squared,$1+\frac{1}{2}v^{2}/c^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus 1 half d squared over c squared.,1 plus 1 half v squared over c squared.,$1+\frac{1}{2}v^{2}/c^{2}$
f double prime of zero divided by two,$f^{\prime\prime}(0)/2$,https://www.youtube.com/watch?v=eRCN3daFCmU,F double prime of zero divided by two.,F double prime of 0 divided by 2.,$f^{\prime\prime}(0)/2$
sine x is approximately x,$\sin x\approx x$,https://www.youtube.com/watch?v=eRCN3daFCmU,sine x is approximately x.,Sine x is approximately x.,$\sinx\approxx$
cosine x is approximately one minus a half x squared,$\cos x\approx 1-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,Cosine X is approximately 1 minus 1 half x squared.,Cosine x is approximately 1 minus 1 half x squared.,$\cosx\approx1-\frac{1}{2}x^{2}$
e to the x is approximately one plus x plus a half x squared,$e^{x}\approx 1+x+\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,e to the x is approximately 1 plus x plus 1 half x squared.,e to the x is approximately 1 plus x plus 1 by 2 x squared.,$e^{x}\approx1+x+\frac{1}{2x^{2}}$
 x minus a half x squared,$x-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,x minus a half x squared.,x minus 1 by 2 x squared.,$(x-1)/2x^{2}$
1 plus x to the power r,$(1+x^{r})$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus x to the power r.,1 plus x to the power r.,$(1+x^{r})$
one plus rx plus r times r minus one divided by two x squared,$1+rx+\frac{r(r-1)}{2}x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 plus rx plus r times r minus 1 divided by 2 x squared.,1 plus rx plus r times r minus 1 divided by 2 x squared.,$1+rx+\frac{r(r-1)}{2}x^{2}$
 e to the minus three x one plus x to the minus a half,$e^{-3x}(1+x)^{-1/2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,"The unit of the minus 3x, 1 plus x to the minus 1 half.","e to the minus 3x, 1 plus x to the minus 1.5.","$(e^{-3x},1+x^{-1.5})$"
one minus a half x plus a half times minus a half times minus three halves x squared,$1-\frac{1}{2}x+\frac{1}{2}\times(-\frac{1}{2})\times(-\frac{3}{2})x^{2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 minus 1 half x plus 1 half times minus 1 half times minus 3 half x squared.,1 minus 1 half x plus 1 half times minus 1 half times minus 3 halves x squared.,$1-\frac{1}{2}x+\frac{1}{2}\times-\frac{1}{2}\times-\frac{3}{2}x^{2}$
f double prime is minus one over one plus x squared,$f^{\prime\prime}=-\frac{1}{1 + x^{2}}$,https://www.youtube.com/watch?v=eRCN3daFCmU,ZF double prime is minus 1 over 1 plus x squared.,x f double prime is minus 1 over 1 plus x squared.,$xf^{\prime\prime}s-\frac{1}{1+x^{2}}$
r one plus x to the r minus one,$(r\cdot 1+x^{r-1})$,https://www.youtube.com/watch?v=eRCN3daFCmU,"R, 1 plus x to the R minus 1.","R, 1 plus x to the r minus 1.","$(r,1+x^{r}-1)$"
r times r minus one x plus one to the r minus two,$r(r-1)(x+1)^{r-2}$,https://www.youtube.com/watch?v=eRCN3daFCmU,"R times R minus 1, x plus 1 to the R minus 2.","R times r minus 1, x plus 1 to the r minus 2.",$r(r-1)x+1^{r-2}$
3 times 1 minus x times 1 plus x,$3(1-x)(1+x)$,https://www.youtube.com/watch?v=eRCN3daFCmU,3 times 1 minus x times 1 plus x.,3 times 1 minus x times 1 plus x.,$3(1-x)(1+x)$
one minus x times 1 plus x is zero,$(1 - x)(1 + x) = 0$,https://www.youtube.com/watch?v=eRCN3daFCmU,1 minus x times 1 plus x is 0.,1 minus x times 1 plus x is 0.,$(1-x)(1+x)=0$
 x is plus or minus 1,$x={}(\pm1)$,https://www.youtube.com/watch?v=eRCN3daFCmU,X is plus or minus one.,x is plus or minus 1.,$x~{}(\pm1)$
f of x is three x minus x cubed,$f(x)=3x-x^{3}$,https://www.youtube.com/watch?v=eRCN3daFCmU,f of x is 3x minus x cubed.,f of x is 3x minus x cubed.,$f(x)\sim3x-x^{3}$
one over x plus two the quantity squared.,$\frac{1}{({x+2})^2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,"1 over x plus 2, the quantity square.",1 over x plus 2 the quantity squared.,$\frac{1}{x+2})^{2}$
negative two plus one,$\-2 + 1\$,https://www.youtube.com/watch?v=twzGBqPeW0M,Negative 2 plus 1.,Negative 2 plus 1.,"$\{-2,+1\}$"
1 plus 1 over x,$1+\frac{1}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 plus 1 over x.,1 plus 1 over x.,$1+\frac{1}{x}$
1 plus 2 over x,$1+\frac{2}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 plus 2 over x.,1 plus 2 over x.,$1+\frac{2}{x}$
one minus one over x plus 2,$1-\frac{1}{x+2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 minus 1 over x plus 2.,1 minus 1 over x plus 2.,$1-\frac{1}{x+2}$
one times log x minus x times the derivative of log x,$1\cdot\log x-x\cdot\frac{\mathrm{d}}{\mathrm{dx}}\log (x)$,https://www.youtube.com/watch?v=twzGBqPeW0M,"1 times the log x minus x times the derivative of log x,",1 times log x minus x times the derivative of log x.,$1\cdot\logx-x\cdot\frac{d}{d\logx}$
log x minus one divided by log x squared,$(\log (x)-1)/\log x^{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,log x minus 1 divided by log x squared.,log x minus 1 divided by log x squared.,$(\logx-1)/(\logx)^{2}$
e divided by log e,$e/\log e$,https://www.youtube.com/watch?v=twzGBqPeW0M,e divided by log e.,E divided by log E.,$E/\logE$
 log e is 1, $\log(e) = {1}$,https://www.youtube.com/watch?v=twzGBqPeW0M,Shy and With Isle dagegen,This log is one.,$s\log_{s}1$
 log x minus 1 divided by log x squared,$\log(x-1)/(\log x)^{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,log x minus 1 divided by log x squared.,log x minus 1 divided by log x squared.,$(\logx-1)/(\logx)^{2}$
1 over log x minus 1 over log x squared,$1/\log x - 1/(\log x^{2})$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over log x minus 1 over log x squared.,1 over log x minus 1 over log x squared.,$1/\logx-1/(\logx)^{2}$
1 over log 0 plus minus 1 over log 0 plus squared,$\displaystyle \frac{1}{\log(0^{+})}-\frac{1}{(\log(0^{+}))^{2}}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over log 0 plus minus 1 over log 0 plus square.,1 over log 0 plus minus 1 over log 0 plus squared.,$\displaystyle\frac{1}{\log(0^{+})}-\frac{1}{(\log(0^{+}))^{2}}$
one over minus infinity minus 1 over infinity,$\frac{1}{-\infty}-\frac{1}{\infty}$,https://www.youtube.com/watch?v=twzGBqPeW0M,1 over minus infinity minus 1 over infinity.,1 over minus infinity minus 1 over infinity.,$1/-\infty-1/\infty$
minus log x to the minus 2 times 1 over x plus 2 log x to the minus 3 1 over x,$\displaystyle -(\log x)^{-2} \cdot\frac{1}{x}+2(\log x)^{-3}\frac{1}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M,"That's minus log x to the minus 2 times 1 over x plus 2 log x to the minus 3, 1 over x.","That's minus log x to the minus 2 times 1 over x, plus 2 log x to the minus 3, 1 over x.",$\displaystyle\cdots-\logx^{-2}\frac{1}{x}+2\logx^{-3}\frac{1}{x}$
 x log x cubed ,$x(\log x)^3$,https://www.youtube.com/watch?v=twzGBqPeW0M,"x, log x, cubed.",x log x cubed.,$(x\logx)^{3}$
2 minus log x,$2-\log x$,https://www.youtube.com/watch?v=twzGBqPeW0M,The two minus log x.,The 2 minus log x.,$2-\logx$
e squared over two,$\frac{e^{2}}{2}$,https://www.youtube.com/watch?v=twzGBqPeW0M,E squared over two.,e squared over 2.,$\frac{d^{2}}{2}$
one minus x,$\displaystyle 1-x$,https://www.youtube.com/watch?v=YN7k_bXXggY,1 minus x.,1 minus x.,$\displaystyle1-x$
x over 4,$\frac{x}{4}$,https://www.youtube.com/watch?v=YN7k_bXXggY,X over 4.,x over 4.,$\frac{x}{4}$
x squared over 16,$x^{2}/16$,https://www.youtube.com/watch?v=YN7k_bXXggY,X squared over 16.,x squared over 16.,$\frac{x^{2}}{16}$
the derivative of 1 minus x squared is 2 times 1 minus x times of minus 1,$\displaystyle \frac{d}{dx}\left(1-x\right)^{2}=2\left(1-x\right)(-1)$,https://www.youtube.com/watch?v=YN7k_bXXggY,The derivative of 1 minus x squared is two times 1 minus x times a minus 1.,The derivative of 1 minus x squared is 2 times 1 minus x times a minus 1.,$\displaystyle\frac{d}{dx}\left(1-x^{2}\right)+2\left(1-x\right)a-1$
2x over 8,$\frac{2x}{8}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x over 8,2x over 8.,$\frac{2x}{8}$
y is equal to v divided by x squared,$y=\frac{v}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,y is equal to v divided by x squared.,y is equal to v divided by x squared.,$y:=\frac{v}{x^{2}}$
A prime is 2x minus 4v over x squared,$A^{\prime}=2x-4v/x^{2}$,https://www.youtube.com/watch?v=YN7k_bXXggY,A prime is 2x minus 4v over x squared.,a' is 2x minus 4v over x squared.,$a^{\prime}\sim2x-4v/x^{2}$
2x equals 2v over x squared,$2x=2v/x^{2}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x equals 2v over x squared.,2x equals 2v over x squared.,$2x=2v/x^{2}$
x cubed is equal to 2v,$x^{3}=2v$,https://www.youtube.com/watch?v=YN7k_bXXggY,x cubed is equal to 2v.,x cubed is equal to 2v.,$x^{3}:=2v$
x is equal to 2 to the 1 3rd v to the 1 3rd,$x=2^{\frac{1}{3}}v^{\frac{1}{3}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,"x is equal to 2 to the 1-third, v to the 1-third.","x is equal to 2 to the 1 third, v to the 1 third.",$x:=2^{\frac{1}{3}}v^{\frac{1}{3}}$
x squared plus 4v over x,$x^{2}+\frac{4v}{x}$,https://www.youtube.com/watch?v=YN7k_bXXggY,x squared plus 4v over x.,x squared plus 4v over x.,$x^{2}+\frac{4v}{x}$
2x minus 4v over x squared,$\displaystyle 2x-\frac{4v}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,plus 2x minus 4v over x squared.,2x minus 4v over x squared.,$2x-4v/x^{2}$
x squared plus 4v over x,$x^{2}+4v/x$,https://www.youtube.com/watch?v=YN7k_bXXggY,x squared plus 4 v over x.,x squared plus 4v over x.,$x^{2}+\frac{4v}{x}$
two to the one third v to the one third squared plus four v ,$({2^{(1/3)}v^{(1/3)}})^{2}+4v$,https://www.youtube.com/watch?v=YN7k_bXXggY,2 to the 1-third v to the 1-third squared plus 4v.,"2 to the 1 third, v to the 1 third squared plus 4v.",$2^{1/3}v^{(1/3)^{2}+4v}$
a divided by v to the 2 3rds,$\frac{a}{v^{2/3}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,A divided by V to the 2 thirds.,A divided by V to the 2 thirds.,$A/V^{2/3}$
2 to the 1 3rd v to the 1 3rd divided by 2 to the minus 2 3rds v to the 1 3rd,$2^{1/3}v^{1/3}\over 2^{-2/3}v^{1/3}$,https://www.youtube.com/watch?v=YN7k_bXXggY,"2 to the 1-third, v to the 1-third divided by 2 to the minus 2-thirds, v to the 1-third.",2 to the 1 third v to the 1 third divided by 2 to the minus 2 thirds v to the 1 third.,$2^{1/3}v^{1/3}/2^{-2/3}v^{1/3}$
2xy,$(2xy)$,https://www.youtube.com/watch?v=YN7k_bXXggY,"2x, y.",2xy,"$(2,(x,y))$"
y prime is equal to minus 2xy divided by x squared,$y^{\prime}=-\frac{2xy}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY,y prime is equal to minus 2xy divided by x squared.,y' is equal to minus 2xy divided by x squared.,$y^{\prime}:=-\frac{2xy}{x^{2}}$
2x plus 4y plus 4x y prime,$2x+4y+4xy^{\prime}$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x plus 4y plus 4x y prime.,2x plus 4y plus 4xy',$2x+4y+4xy^{\prime}$
4x times minus 2y over x,$4x\cdot-\frac{2y}{x}$,https://www.youtube.com/watch?v=YN7k_bXXggY,4x times minus 2y over x.,4x times minus 2y over x.,$4x\cdot-\frac{2y}{x}$
2x plus 4y,$\displaystyle 2x+4y$,https://www.youtube.com/watch?v=YN7k_bXXggY,2x plus 4y.,2x plus 4y.,$\displaystyle2x+4y$
8 minus 8y equals 0,$8-8y=0.$,https://www.youtube.com/watch?v=YN7k_bXXggY,8 minus 8 y equals 0.,8 minus 8y equals 0.,$8-8y=0.$
x over y is equal to 2,$\frac{x}{y}=2$,https://www.youtube.com/watch?v=YN7k_bXXggY,x over y is equal to 2.,x over y is equal to 2.,$\frac{x}{y}=2$
x squared plus 30 squared is equal to d squared,$x^{2}+30^{2}=d^{2}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x squared plus 30 squared is equal to d squared.,x squared plus 30 squared is equal to d squared.,$x^{2}+30^{2}<=d^{2}$
d D dt is minus 80,$\frac{\mathrm{d}}{\mathrm{d}t}D=-80$,https://www.youtube.com/watch?v=sRIDVAcoG5A,DDDT is minus 80.,d d dt is minus 80.,$\mathrm{d}\mathrm{d}t\sim-80$
r divided by h is equal to four divided by ten,$r/h=4/10$,https://www.youtube.com/watch?v=sRIDVAcoG5A,r divided by h is equal to 4 divided by 10.,r divided by h is equal to 4 divided by 10.,$R/H=4/10$
dv dt is two,$\frac{dv}{dt} = 2$,https://www.youtube.com/watch?v=sRIDVAcoG5A,DVDT is two.,DVDT is two.,$\text{CDT}_{\text{is2}}$
two fifths h,$\frac{2}{5}h$,https://www.youtube.com/watch?v=sRIDVAcoG5A,"Two fifths, H.",2 fifths H.,$\frac{2}{5}h$
v is equal to a 3rd pi times 2 5ths,$v=\frac{1}{3}\pi\times\frac{2}{5}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,v is equal to a third pi times 2 fifths.,v is equal to 1 3 pi times 2 5.,"$V:=1.3\pi(2,5)$"
h squared times h,$\mathbb{h}^{2}\times\mathbb{h}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,H squared times H.,h squared times h.,$\mathbb{H}^{2}\times\mathbb{H}$
h squared times h,$\mathbb{h}^{2}\times\mathbb{h}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,H squared times H.,h squared times h.,$\mathbb{H}^{2}\times\mathbb{H}$
3h squared times dh dt,$\displaystyle 3h^{2}\frac{dh}{dt}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,3H squared times DHDT.,3h squared times dh dt.,$3h^{2}\frac{dh}{dt}$
2 is equal to pi over 3 times 2 5ths,$2=\frac{\pi}{3}\times\frac{2}{5}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,2 is equal to pi over 3 times 2-5th.,2 is equal to pi over 3 times 2 fifths.,$2:=\frac{\pi}{3}\times\frac{2}{5}$
dh dt is equal to 1 over 2pi,$\frac{dh}{dt}=\frac{1}{2\pi}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,dH dT is equal to 1 over 2 pi.,dH dt is equal to 1 over 2 pi.,$\frac{dH}{dt}:=\frac{1}{2\pi}$
dv dt is equal to dv dh times dh dt,$dv/dt = \frac{dv}{dh}\times\frac{dh}{dt}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,use dVDT is equal to dVDH times dHDT.,Use dvdt is equal to dvdh times dhdt.,$\use@mathgroup\M@U\symAMSb{D}^{t}=\use@mathgroup\M@U\symAMSb{D}^{h}\times%\use@mathgroup\M@U\symAMSb{D}^{t}$
the square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,the square root of x squared plus y squared.,The square root of x squared plus y squared.,$\sqrt{x^{2}+y^{2}}$
b minus y,$\mathcal{b}{-}y$,https://www.youtube.com/watch?v=sRIDVAcoG5A,B minus Y.,B minus Y.,$\mathcal{B}^{-}(y)$
the square root of a minus x squared plus b minus y squared,$\sqrt{(a-x)^{2}+(b-y)^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,the square root of a minus x squared plus d minus y squared.,The square root of a-x squared plus b-y squared.,$\sqrt{(a-x)^{2}+(b-y)^{2}}$
a minus x,$\mathcal{a}-x$,https://www.youtube.com/watch?v=sRIDVAcoG5A,A minus x.,a minus x.,$\mathcal{A}-X$
b minus y times y prime,$(b - y)y^{\prime}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,V minus y times y prime.,v minus y times y',$v-yy^{\prime}$
x divided by square root of x squared plus y squared ,$x/\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x divided by square root of x squared plus y squared.,x divided by square root of x squared plus y squared.,$x/\sqrt{x^{2}+y^{2}}$
x squared equals 5,$\displaystyle x^{2}=5$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x squared equals 5.,x squared equals 5.,$\displaystylex^{2}=5$
f of x equal to x squared minus 5,$f(x)=x^{2}-5$,https://www.youtube.com/watch?v=sRIDVAcoG5A,f of x equal to x squared minus 5.,f of x equal to x squared minus 5.,$f(x)=x^{2}-5$
f of x equals 0,$f(\mathbf{x})=0$,https://www.youtube.com/watch?v=sRIDVAcoG5A,f of x equals zero.,f of x equals 0.,$f(\mathbf{x})=0$
y minus y0 is equal to m x minus x0,$y-y_{0}=m(x-x_{0})$,https://www.youtube.com/watch?v=sRIDVAcoG5A,y minus y0 is equal to m x minus x0.,y minus y0 is equal to m x minus x0.,$y-y_{0}:=Mx-x_{0}$
x1 is equal to x0 minus y0 divided by m,$x_{1}=x_{0}-\frac{y_{0}}{m}$,https://www.youtube.com/watch?v=sRIDVAcoG5A,X1 is equal to X0 minus Y0 divided by M.,x1 is equal to x0 minus y0 divided by m.,$x_{1}:=x_{0}-y_{0}/m$
x0 is equal to 2,$x_0 = 2$,https://www.youtube.com/watch?v=sRIDVAcoG5A,x0 is equal to 2,x0 is equal to 2.,"$(x,0):=(2)$"
x0 squared minus 5,$x_0^{2} - 5$ ,https://www.youtube.com/watch?v=sRIDVAcoG5A,x0 squared minus 5.,x0 squared minus 5.,$X0^{2}-5$
